date,event_id,event_type,city,language,venue_capacity,base_ticket_price,discount_pct,final_ticket_price,tickets_sold,occupancy_rate,revenue
2023-01-01,E005,Sports,Delhi,Tamil,644,500,25,375.0,100,0.16,37500.0
2023-01-01,E006,Theatre,Chennai,Hindi,352,350,20,280.0,159,0.45,44520.0
2023-01-01,E010,Sports,Mumbai,English,904,300,25,225.0,70,0.08,15750.0
2023-01-01,E016,Concert,Bangalore,Tamil,716,500,25,375.0,76,0.11,28500.0
2023-01-01,E020,Stand-up,Chennai,Tamil,403,500,5,475.0,120,0.3,57000.0
2023-01-01,E024,Theatre,Bangalore,Tamil,1016,200,5,190.0,78,0.08,14820.0
2023-01-02,E003,Stand-up,Delhi,Hindi,367,150,15,127.5,116,0.32,14790.0
2023-01-02,E011,Movie,Chennai,Telugu,804,250,5,237.5,109,0.14,25887.5
2023-01-02,E012,Theatre,Delhi,English,1003,150,0,150.0,26,0.03,3900.0
2023-01-02,E016,Concert,Bangalore,Tamil,716,300,5,285.0,105,0.15,29925.0
2023-01-02,E019,Concert,Delhi,Tamil,1146,150,20,120.0,128,0.11,15360.0
2023-01-02,E022,Sports,Pune,English,1044,400,0,400.0,106,0.1,42400.0
2023-01-02,E025,Theatre,Bangalore,Hindi,674,300,5,285.0,48,0.07,13680.0
2023-01-03,E001,Theatre,Pune,Tamil,411,250,20,200.0,94,0.23,18800.0
2023-01-03,E008,Movie,Pune,Telugu,694,250,25,187.5,48,0.07,9000.0
2023-01-03,E018,Concert,Chennai,English,1189,500,5,475.0,130,0.11,61750.0
2023-01-03,E020,Stand-up,Chennai,Tamil,403,350,5,332.5,105,0.26,34912.5
2023-01-03,E020,Stand-up,Chennai,Tamil,403,200,0,200.0,105,0.26,21000.0
2023-01-03,E020,Stand-up,Chennai,Tamil,403,150,25,112.5,118,0.29,13275.0
2023-01-03,E023,Sports,Hyderabad,Telugu,509,400,20,320.0,144,0.28,46080.0
2023-01-04,E003,Stand-up,Delhi,Hindi,367,350,10,315.0,80,0.22,25200.0
2023-01-04,E006,Theatre,Chennai,Hindi,352,300,10,270.0,66,0.19,17820.0
2023-01-04,E010,Sports,Mumbai,English,904,400,5,380.0,68,0.08,25840.0
2023-01-04,E010,Sports,Mumbai,English,904,250,25,187.5,79,0.09,14812.5
2023-01-04,E016,Concert,Bangalore,Tamil,716,400,5,380.0,106,0.15,40280.0
2023-01-04,E020,Stand-up,Chennai,Tamil,403,200,15,170.0,25,0.06,4250.0
2023-01-04,E024,Theatre,Bangalore,Tamil,1016,500,15,425.0,67,0.07,28475.0
2023-01-05,E025,Theatre,Bangalore,Hindi,674,400,0,400.0,107,0.16,42800.0
2023-01-06,E007,Movie,Bangalore,Hindi,490,400,5,380.0,75,0.15,28500.0
2023-01-06,E008,Movie,Pune,Telugu,694,150,0,150.0,117,0.17,17550.0
2023-01-06,E011,Movie,Chennai,Telugu,804,250,25,187.5,141,0.18,26437.5
2023-01-06,E014,Movie,Chennai,Telugu,1131,250,15,212.5,102,0.09,21675.0
2023-01-06,E019,Concert,Delhi,Tamil,1146,350,15,297.5,125,0.11,37187.5
2023-01-06,E019,Concert,Delhi,Tamil,1146,300,10,270.0,178,0.16,48060.0
2023-01-07,E002,Theatre,Pune,Hindi,545,300,0,300.0,62,0.11,18600.0
2023-01-07,E006,Theatre,Chennai,Hindi,352,350,25,262.5,77,0.22,20212.5
2023-01-07,E011,Movie,Chennai,Telugu,804,300,15,255.0,72,0.09,18360.0
2023-01-07,E013,Movie,Chennai,Telugu,959,400,25,300.0,142,0.15,42600.0
2023-01-07,E018,Concert,Chennai,English,1189,300,5,285.0,152,0.13,43320.0
2023-01-07,E018,Concert,Chennai,English,1189,400,0,400.0,101,0.08,40400.0
2023-01-07,E022,Sports,Pune,English,1044,300,20,240.0,136,0.13,32640.0
2023-01-08,E006,Theatre,Chennai,Hindi,352,300,5,285.0,154,0.44,43890.0
2023-01-08,E010,Sports,Mumbai,English,904,200,10,180.0,163,0.18,29340.0
2023-01-08,E021,Stand-up,Mumbai,Telugu,549,200,20,160.0,134,0.24,21440.0
2023-01-09,E003,Stand-up,Delhi,Hindi,367,500,10,450.0,65,0.18,29250.0
2023-01-09,E007,Movie,Bangalore,Hindi,490,250,20,200.0,80,0.16,16000.0
2023-01-09,E011,Movie,Chennai,Telugu,804,150,5,142.5,67,0.08,9547.5
2023-01-09,E018,Concert,Chennai,English,1189,250,5,237.5,115,0.1,27312.5
2023-01-10,E002,Theatre,Pune,Hindi,545,500,5,475.0,93,0.17,44175.0
2023-01-10,E008,Movie,Pune,Telugu,694,300,15,255.0,48,0.07,12240.0
2023-01-10,E009,Concert,Bangalore,Tamil,272,400,0,400.0,29,0.11,11600.0
2023-01-10,E017,Sports,Pune,Tamil,486,200,10,180.0,143,0.29,25740.0
2023-01-10,E023,Sports,Hyderabad,Telugu,509,250,20,200.0,33,0.06,6600.0
2023-01-11,E007,Movie,Bangalore,Hindi,490,300,10,270.0,104,0.21,28080.0
2023-01-11,E015,Concert,Bangalore,Tamil,419,250,5,237.5,136,0.32,32300.0
2023-01-11,E023,Sports,Hyderabad,Telugu,509,250,15,212.5,61,0.12,12962.5
2023-01-11,E025,Theatre,Bangalore,Hindi,674,250,5,237.5,45,0.07,10687.5
2023-01-12,E004,Theatre,Mumbai,Telugu,712,500,0,500.0,31,0.04,15500.0
2023-01-12,E011,Movie,Chennai,Telugu,804,150,15,127.5,117,0.15,14917.5
2023-01-12,E012,Theatre,Delhi,English,1003,200,5,190.0,93,0.09,17670.0
2023-01-12,E014,Movie,Chennai,Telugu,1131,350,0,350.0,35,0.03,12250.0
2023-01-12,E016,Concert,Bangalore,Tamil,716,250,0,250.0,102,0.14,25500.0
2023-01-14,E018,Concert,Chennai,English,1189,200,20,160.0,52,0.04,8320.0
2023-01-14,E025,Theatre,Bangalore,Hindi,674,200,10,180.0,107,0.16,19260.0
2023-01-15,E009,Concert,Bangalore,Tamil,272,250,10,225.0,180,0.66,40500.0
2023-01-15,E018,Concert,Chennai,English,1189,350,0,350.0,145,0.12,50750.0
2023-01-15,E020,Stand-up,Chennai,Tamil,403,250,25,187.5,51,0.13,9562.5
2023-01-16,E001,Theatre,Pune,Tamil,411,500,20,400.0,48,0.12,19200.0
2023-01-16,E002,Theatre,Pune,Hindi,545,200,10,180.0,45,0.08,8100.0
2023-01-16,E004,Theatre,Mumbai,Telugu,712,500,10,450.0,55,0.08,24750.0
2023-01-16,E013,Movie,Chennai,Telugu,959,300,25,225.0,115,0.12,25875.0
2023-01-16,E024,Theatre,Bangalore,Tamil,1016,350,5,332.5,111,0.11,36907.5
2023-01-17,E004,Theatre,Mumbai,Telugu,712,150,25,112.5,45,0.06,5062.5
2023-01-17,E008,Movie,Pune,Telugu,694,250,0,250.0,43,0.06,10750.0
2023-01-17,E008,Movie,Pune,Telugu,694,400,10,360.0,81,0.12,29160.0
2023-01-17,E011,Movie,Chennai,Telugu,804,200,0,200.0,63,0.08,12600.0
2023-01-17,E016,Concert,Bangalore,Tamil,716,350,25,262.5,132,0.18,34650.0
2023-01-17,E018,Concert,Chennai,English,1189,250,10,225.0,106,0.09,23850.0
2023-01-18,E003,Stand-up,Delhi,Hindi,367,500,0,500.0,88,0.24,44000.0
2023-01-18,E005,Sports,Delhi,Tamil,644,150,15,127.5,94,0.15,11985.0
2023-01-18,E019,Concert,Delhi,Tamil,1146,400,0,400.0,119,0.1,47600.0
2023-01-18,E022,Sports,Pune,English,1044,350,20,280.0,55,0.05,15400.0
2023-01-18,E024,Theatre,Bangalore,Tamil,1016,300,15,255.0,20,0.02,5100.0
2023-01-19,E003,Stand-up,Delhi,Hindi,367,250,20,200.0,107,0.29,21400.0
2023-01-19,E024,Theatre,Bangalore,Tamil,1016,200,15,170.0,91,0.09,15470.0
2023-01-20,E005,Sports,Delhi,Tamil,644,400,10,360.0,60,0.09,21600.0
2023-01-20,E017,Sports,Pune,Tamil,486,250,20,200.0,72,0.15,14400.0
2023-01-20,E023,Sports,Hyderabad,Telugu,509,200,0,200.0,205,0.4,41000.0
2023-01-20,E024,Theatre,Bangalore,Tamil,1016,350,25,262.5,61,0.06,16012.5
2023-01-21,E001,Theatre,Pune,Tamil,411,250,10,225.0,82,0.2,18450.0
2023-01-21,E010,Sports,Mumbai,English,904,350,0,350.0,192,0.21,67200.0
2023-01-21,E023,Sports,Hyderabad,Telugu,509,200,15,170.0,91,0.18,15470.0
2023-01-22,E004,Theatre,Mumbai,Telugu,712,350,5,332.5,82,0.12,27265.0
2023-01-22,E007,Movie,Bangalore,Hindi,490,200,0,200.0,35,0.07,7000.0
2023-01-22,E007,Movie,Bangalore,Hindi,490,250,20,200.0,124,0.25,24800.0
2023-01-22,E010,Sports,Mumbai,English,904,200,0,200.0,171,0.19,34200.0
2023-01-23,E008,Movie,Pune,Telugu,694,200,10,180.0,46,0.07,8280.0
2023-01-23,E008,Movie,Pune,Telugu,694,350,0,350.0,109,0.16,38150.0
2023-01-23,E011,Movie,Chennai,Telugu,804,500,20,400.0,111,0.14,44400.0
2023-01-23,E022,Sports,Pune,English,1044,400,15,340.0,40,0.04,13600.0
2023-01-23,E025,Theatre,Bangalore,Hindi,674,200,5,190.0,83,0.12,15770.0
2023-01-24,E002,Theatre,Pune,Hindi,545,250,20,200.0,106,0.19,21200.0
2023-01-24,E010,Sports,Mumbai,English,904,500,25,375.0,68,0.08,25500.0
2023-01-24,E021,Stand-up,Mumbai,Telugu,549,150,5,142.5,115,0.21,16387.5
2023-01-24,E025,Theatre,Bangalore,Hindi,674,400,0,400.0,37,0.05,14800.0
2023-01-25,E007,Movie,Bangalore,Hindi,490,200,20,160.0,107,0.22,17120.0
2023-01-25,E013,Movie,Chennai,Telugu,959,200,25,150.0,27,0.03,4050.0
